X,Y,Conductivity 16 kHz,TIME
-109.2981633,-27.0882866,2446.489,26:25.8
-109.2981633,-27.0882866,2449.494,26:26.3
-109.2981642,-27.0882866,2452.38,26:26.8
-109.298165,-27.0882866,2449.942,26:27.2
-109.298165,-27.0882866,2445.724,26:27.8
-109.298165,-27.0882866,2445.148,26:28.3
-109.298165,-27.0882866,2450.621,26:28.8
-109.298165,-27.0882866,2464.889,26:29.3
-109.2981642,-27.0882866,2477.997,26:29.8
-109.2981633,-27.0882866,2486.382,26:30.3
-109.2981633,-27.0882866,2488.656,26:30.8
-109.298165,-27.0882866,2489.264,26:31.3
-109.298165,-27.0882866,2491.816,26:31.8
-109.298165,-27.0882866,2492.601,26:32.3
-109.298165,-27.0882866,2495.084,26:32.8
-109.298165,-27.0882866,2496.306,26:33.3
-109.298165,-27.0882866,2500.054,26:33.8
-109.298165,-27.0882866,2501.395,26:34.3
-109.298165,-27.0882866,2506.437,26:34.8
-109.298165,-27.0882866,2509.136,26:35.3
-109.2981642,-27.0882866,2514.725,26:35.8
-109.2981633,-27.0882866,2515.884,26:36.3
-109.2981633,-27.0882866,2515.313,26:36.8
-109.2981633,-27.0882866,2510.546,26:37.3
-109.2981633,-27.0882866,2504.021,26:37.8
-109.2981633,-27.0882866,2501.624,26:38.3
-109.2981633,-27.0882866,2499.152,26:38.8
-109.2981616,-27.0882866,2502.073,26:39.2
-109.2981616,-27.0882866,2505.356,26:39.8
-109.2981616,-27.0882849,2510.746,26:40.3
-109.2981616,-27.0882866,2515.349,26:40.8
-109.2981616,-27.0882866,2516.484,26:41.3
-109.2981633,-27.0882849,2516.394,26:41.8
-109.2981633,-27.0882849,2513.496,26:42.3
-109.2981633,-27.0882833,2509.212,26:42.8
-109.2981633,-27.0882833,2505.371,26:43.3
-109.2981633,-27.0882833,2501.596,26:43.8
-109.2981633,-27.0882833,2499.773,26:44.3
-109.2981616,-27.0882833,2499.278,26:44.8
-109.2981616,-27.0882833,2495.126,26:45.3
-109.2981616,-27.0882849,2490.277,26:45.8
-109.2981616,-27.0882849,2481.716,26:46.3
-109.29816,-27.0882849,2475.585,26:46.8
-109.29816,-27.0882849,2472.319,26:47.2
-109.29816,-27.0882833,2467.401,26:47.8
-109.29816,-27.0882833,2467.321,26:48.3
-109.29816,-27.0882833,2462.958,26:48.8
-109.29816,-27.0882833,2464.462,26:49.3
-109.29816,-27.0882833,2464.243,26:49.8
-109.29816,-27.0882833,2469.22,26:50.3
-109.29816,-27.0882833,2475.613,26:50.7
-109.29816,-27.0882833,2481.193,26:51.3
-109.29816,-27.0882849,2486.737,26:51.8
-109.29816,-27.0882849,2492.337,26:52.3
-109.29816,-27.0882849,2498.496,26:52.8
-109.29816,-27.0882849,2503.403,26:53.3
-109.29816,-27.0882849,2506.899,26:53.8
-109.29816,-27.0882849,2510.549,26:54.3
-109.29816,-27.0882849,2509.604,26:54.7
-109.29816,-27.0882849,2504.469,26:55.2
-109.29816,-27.0882849,2494.042,26:55.8
-109.29816,-27.0882849,2482.717,26:56.3
-109.29816,-27.0882849,2469.189,26:56.8
-109.29816,-27.0882849,2456.929,26:57.3
-109.29816,-27.0882849,2443.706,26:57.8
-109.29816,-27.0882849,2431.771,26:58.3
-109.29816,-27.0882849,2421.23,26:58.8
-109.29816,-27.0882849,2418.034,26:59.3
-109.2981616,-27.0882849,2421.088,26:59.8
-109.2981616,-27.0882849,2427.26,27:00.3
-109.2981616,-27.0882849,2434.88,27:00.8
-109.2981616,-27.0882849,2442.876,27:01.3
-109.2981616,-27.0882849,2453.833,27:01.8
-109.2981633,-27.0882849,2461.863,27:02.3
-109.2981633,-27.0882849,2467.696,27:02.8
-109.2981633,-27.0882849,2472,27:03.3
-109.2981633,-27.0882849,2478.869,27:03.8
-109.2981633,-27.0882849,2488.152,27:04.3
-109.2981625,-27.0882849,2499.216,27:04.8
-109.2981616,-27.0882849,2509.295,27:05.3
-109.2981616,-27.0882849,2515.582,27:05.8
-109.2981616,-27.0882849,2512.024,27:06.2
-109.2981616,-27.0882849,2501.406,27:06.8
-109.2981616,-27.0882833,2487.289,27:07.3
-109.2981616,-27.0882833,2473.033,27:07.8
-109.2981616,-27.0882833,2460.792,27:08.3
-109.2981616,-27.0882833,2449.499,27:08.8
-109.2981616,-27.0882833,2443.204,27:09.3
-109.2981616,-27.0882833,2441.225,27:09.8
-109.2981616,-27.0882833,2439.657,27:10.2
-109.2981616,-27.0882833,2438.099,27:10.8
-109.2981616,-27.0882816,2430.517,27:11.2
-109.2981616,-27.0882816,2424.236,27:11.8
-109.2981616,-27.0882833,2418.191,27:12.3
-109.2981616,-27.0882833,2418.318,27:12.8
-109.29816,-27.0882833,2426.515,27:13.3
-109.29816,-27.0882833,2437.04,27:13.8
-109.29816,-27.0882833,2450.1,27:14.2
-109.29816,-27.0882833,2456.154,27:14.8
-109.29816,-27.0882833,2459.927,27:15.2
-109.29816,-27.0882833,2459.07,27:15.8
-109.29816,-27.0882833,2459.821,27:16.3
-109.29816,-27.0882833,2462.582,27:16.8
-109.29816,-27.0882833,2465.601,27:17.3
-109.29816,-27.0882833,2464.991,27:17.8
-109.29816,-27.0882833,2461.305,27:18.3
-109.29816,-27.0882833,2457.29,27:18.8
-109.29816,-27.0882833,2455.61,27:19.2
-109.29816,-27.0882833,2454.655,27:19.8
-109.29816,-27.0882833,2450.172,27:20.3
-109.2981616,-27.0882816,2444.865,27:20.8
-109.2981616,-27.0882816,2436.554,27:21.3
-109.29816,-27.0882816,2432.552,27:21.7
-109.29816,-27.0882816,2427.784,27:22.2
-109.29816,-27.0882816,2423.633,27:22.8
-109.29816,-27.0882816,2417.902,27:23.3
-109.29816,-27.0882816,2415.359,27:23.8
-109.29816,-27.0882816,2414.868,27:24.3
-109.29816,-27.0882816,2415.679,27:24.8
-109.29816,-27.0882816,2411.682,27:25.3
-109.29816,-27.0882816,2408.353,27:25.8
-109.29816,-27.0882816,2404.601,27:26.3
-109.2981616,-27.0882816,2405.05,27:26.8
-109.2981616,-27.0882816,2409.101,27:27.3
-109.2981616,-27.0882816,2416.156,27:27.8
-109.2981616,-27.0882816,2423.859,27:28.3
-109.2981633,-27.0882816,2428.043,27:28.8
-109.2981633,-27.0882816,2429.572,27:29.3
-109.2981633,-27.0882816,2429.376,27:29.8
-109.2981633,-27.0882816,2429.948,27:30.3
-109.2981633,-27.0882833,2431.198,27:30.8
-109.2981633,-27.0882833,2432.911,27:31.3
-109.2981633,-27.0882833,2434.607,27:31.8
-109.2981633,-27.0882833,2436.075,27:32.3
-109.2981633,-27.0882833,2436.357,27:32.8
-109.2981633,-27.0882833,2432.894,27:33.2
